num,창덕궁: (일본),date
1,16,2015-02-01
2,0,2015-02-08
3,17,2015-02-15
4,16,2015-02-22
5,0,2015-03-01
6,32,2015-03-08
7,32,2015-03-15
8,0,2015-03-22
9,16,2015-03-29
10,16,2015-04-05
11,32,2015-04-12
12,0,2015-04-19
13,0,2015-04-26
14,0,2015-05-03
15,0,2015-05-10
16,45,2015-05-17
17,31,2015-05-24
18,15,2015-05-31
19,15,2015-06-07
20,0,2015-06-14
21,14,2015-06-21
22,0,2015-06-28
23,14,2015-07-05
24,0,2015-07-12
25,0,2015-07-19
26,14,2015-07-26
27,14,2015-08-02
28,14,2015-08-09
29,28,2015-08-16
30,14,2015-08-23
31,57,2015-08-30
32,28,2015-09-06
33,28,2015-09-13
34,100,2015-09-20
35,0,2015-09-27
36,14,2015-10-04
37,43,2015-10-11
38,14,2015-10-18
39,15,2015-10-25
40,29,2015-11-01
41,0,2015-11-08
42,0,2015-11-15
43,14,2015-11-22
44,14,2015-11-29
45,0,2015-12-06
46,28,2015-12-13
47,14,2015-12-20
48,30,2015-12-27
49,0,2016-01-03
50,0,2016-01-10
51,0,2016-01-17
52,14,2016-01-24
53,14,2016-01-31
54,14,2016-02-07
55,13,2016-02-14
56,27,2016-02-21
57,0,2016-02-28
58,0,2016-03-06
59,0,2016-03-13
60,14,2016-03-20
61,13,2016-03-27
62,0,2016-04-03
63,0,2016-04-10
64,26,2016-04-17
65,27,2016-04-24
66,0,2016-05-01
67,26,2016-05-08
68,26,2016-05-15
69,13,2016-05-22
70,0,2016-05-29
71,0,2016-06-05
72,0,2016-06-12
73,13,2016-06-19
74,0,2016-06-26
75,27,2016-07-03
76,41,2016-07-10
77,41,2016-07-17
78,27,2016-07-24
79,27,2016-07-31
80,30,2016-08-07
81,0,2016-08-14
82,14,2016-08-21
83,28,2016-08-28
84,27,2016-09-04
85,0,2016-09-11
86,13,2016-09-18
87,27,2016-09-25
88,14,2016-10-02
89,14,2016-10-09
90,28,2016-10-16
91,14,2016-10-23
92,29,2016-10-30
93,57,2016-11-06
94,14,2016-11-13
95,14,2016-11-20
96,14,2016-11-27
97,13,2016-12-04
98,27,2016-12-11
99,13,2016-12-18
100,14,2016-12-25
101,13,2017-01-01
102,13,2017-01-08
103,39,2017-01-15
104,39,2017-01-22
105,13,2017-01-29
106,13,2017-02-05
107,25,2017-02-12
108,51,2017-02-19
109,0,2017-02-26
110,0,2017-03-05
111,12,2017-03-12
112,50,2017-03-19
113,24,2017-03-26
114,25,2017-04-02
115,64,2017-04-09
116,12,2017-04-16
117,38,2017-04-23
118,62,2017-04-30
119,24,2017-05-07
120,13,2017-05-14
121,13,2017-05-21
122,52,2017-05-28
123,38,2017-06-04
124,12,2017-06-11
125,24,2017-06-18
126,61,2017-06-25
127,25,2017-07-02
128,50,2017-07-09
129,12,2017-07-16
130,12,2017-07-23
131,0,2017-07-30
132,47,2017-08-06
133,36,2017-08-13
134,0,2017-08-20
135,50,2017-08-27
136,25,2017-09-03
137,24,2017-09-10
138,0,2017-09-17
139,38,2017-09-24
140,12,2017-10-01
141,25,2017-10-08
142,0,2017-10-15
143,24,2017-10-22
144,25,2017-10-29
145,0,2017-11-05
146,26,2017-11-12
147,41,2017-11-19
148,41,2017-11-26
149,0,2017-12-03
150,0,2017-12-10
151,0,2017-12-17
152,0,2017-12-24
153,0,2017-12-31
154,26,2018-01-07
155,13,2018-01-14
156,0,2018-01-21
157,26,2018-01-28
158,13,2018-02-04
159,13,2018-02-11
160,26,2018-02-18
161,26,2018-02-25
162,38,2018-03-04
163,13,2018-03-11
164,26,2018-03-18
165,13,2018-03-25
166,13,2018-04-01
167,52,2018-04-08
168,0,2018-04-15
169,65,2018-04-22
170,26,2018-04-29
171,13,2018-05-06
172,25,2018-05-13
173,26,2018-05-20
174,26,2018-05-27
175,13,2018-06-03
176,24,2018-06-10
177,25,2018-06-17
178,13,2018-06-24
179,24,2018-07-01
180,25,2018-07-08
181,25,2018-07-15
182,25,2018-07-22
183,24,2018-07-29
184,49,2018-08-05
185,61,2018-08-12
186,49,2018-08-19
187,25,2018-08-26
188,61,2018-09-02
189,50,2018-09-09
190,13,2018-09-16
191,0,2018-09-23
192,25,2018-09-30
193,13,2018-10-07
194,26,2018-10-14
195,13,2018-10-21
196,13,2018-10-28
197,37,2018-11-04
198,13,2018-11-11
199,26,2018-11-18
200,13,2018-11-25
201,13,2018-12-02
202,13,2018-12-09
203,12,2018-12-16
204,13,2018-12-23
205,66,2018-12-30
206,51,2019-01-06
207,25,2019-01-13
208,37,2019-01-20
209,12,2019-01-27
210,0,2019-02-03
211,72,2019-02-10
212,74,2019-02-17
213,37,2019-02-24
214,37,2019-03-03
215,37,2019-03-10
216,24,2019-03-17
217,12,2019-03-24
218,36,2019-03-31
219,12,2019-04-07
220,12,2019-04-14
221,24,2019-04-21
222,24,2019-04-28
223,12,2019-05-05
224,12,2019-05-12
225,59,2019-05-19
226,23,2019-05-26
227,11,2019-06-02
228,0,2019-06-09
229,46,2019-06-16
230,34,2019-06-23
231,45,2019-06-30
232,57,2019-07-07
233,23,2019-07-14
234,12,2019-07-21
235,35,2019-07-28
236,12,2019-08-04
237,78,2019-08-11
238,12,2019-08-18
239,58,2019-08-25
240,11,2019-09-01
241,68,2019-09-08
242,35,2019-09-15
243,12,2019-09-22
244,11,2019-09-29
245,22,2019-10-06
246,12,2019-10-13
247,23,2019-10-20
248,35,2019-10-27
249,0,2019-11-03
250,12,2019-11-10
251,11,2019-11-17
252,0,2019-11-24
253,12,2019-12-01
254,23,2019-12-08
255,23,2019-12-15
256,0,2019-12-22
257,34,2019-12-29
258,33,2020-01-05
259,22,2020-01-12
260,22,2020-01-19
261,33,2020-01-26